p	sp	200	2080		
a	115	73	106	522	28
a	115	112	185	520	45
a	115	116	181	534	29
a	115	130	158	539	32
a	115	140	509	106	6
a	115	156	565	141	13
a	115	166	553	117	8
a	115	169	174	581	36
a	115	178	510	193	10
a	115	196	583	123	9
a	116	21	171	532	45
a	116	40	174	556	32
a	116	69	531	122	7
a	116	71	160	574	45
a	116	98	192	533	31
a	116	102	512	119	7
a	116	103	115	501	40
a	116	124	531	178	17
a	116	154	550	180	10
a	116	171	564	114	6
a	117	11	528	141	14
a	117	35	510	113	8
a	117	106	167	579	57
a	117	166	555	132	11
a	117	172	104	553	28
a	117	185	552	159	9
a	117	197	116	537	36
a	118	14	591	134	11
a	118	27	186	578	52
a	118	44	570	108	6
a	118	68	155	511	33
a	118	99	132	569	30
a	118	123	569	188	12
a	118	135	182	522	30
a	118	140	138	595	43
a	118	151	571	154	13
a	118	178	183	504	40
a	118	186	143	523	50
a	118	190	572	109	7
a	118	199	550	132	8
a	119	1	192	590	49
a	119	18	194	576	33
a	119	52	567	151	10
a	119	90	543	184	12
a	119	93	566	196	13
a	119	114	136	570	38
a	119	131	131	521	28
a	119	134	541	151	9
a	119	162	543	125	7
a	119	167	126	521	30
a	119	181	583	123	10
a	120	5	563	128	9
a	120	13	508	134	9
a	120	24	172	549	46
a	120	47	555	191	15
a	120	70	521	127	12
a	120	99	568	144	8
a	120	108	599	179	9
a	120	117	595	178	11
a	120	141	513	186	18
a	120	148	179	572	47
a	120	172	123	550	30
a	120	186	148	511	28
a	120	188	143	511	45
a	121	11	531	196	12
a	121	16	551	200	19
a	121	75	583	193	11
a	121	87	101	587	39
a	121	128	143	525	47
a	121	142	567	186	14
a	121	149	507	126	10
a	121	165	525	175	14
a	121	169	123	515	41
a	121	185	182	569	52
a	122	5	177	509	44
a	122	27	150	525	39
a	122	41	138	562	36
a	122	69	511	118	7
a	122	71	505	149	9
a	122	98	163	598	34
a	122	102	183	531	39
a	122	112	107	507	33
a	122	119	195	509	44
a	122	123	179	514	30
a	122	176	146	536	47
a	122	191	124	597	37
a	122	197	147	585	34
a	123	15	172	500	32
a	123	55	503	194	15
a	123	103	153	501	29
a	123	117	126	539	37
a	123	143	165	528	42
a	123	160	157	558	41
a	123	191	530	118	10
a	124	56	155	579	54
a	124	69	539	108	7
a	124	77	131	559	44
a	124	102	197	525	49
a	124	110	104	503	30
a	124	152	560	165	11
a	124	158	148	529	30
a	124	159	533	186	12
a	124	165	101	517	26
a	124	174	193	535	28
a	125	12	191	562	40
a	125	36	181	534	45
a	125	105	588	116	7
a	125	129	552	136	7
a	125	154	533	145	8
a	126	5	517	108	9
a	126	65	519	156	9
a	126	77	106	502	29
a	126	85	116	526	31
a	126	91	120	569	36
a	126	92	138	594	30
a	126	100	596	171	9
a	126	153	154	561	41
a	126	168	110	593	42
a	126	190	524	194	10
a	126	195	127	564	28
a	126	199	539	127	10
a	127	16	183	550	48
a	127	22	185	559	31
a	127	56	546	130	11
a	127	117	509	138	12
a	127	150	531	146	7
a	127	156	177	539	36
a	128	29	139	559	35
a	128	54	517	187	10
a	128	57	164	525	27
a	128	60	547	139	10
a	128	76	507	118	9
a	128	142	113	581	38
a	128	173	525	161	12
a	128	192	179	518	29
a	129	8	185	533	38
a	129	50	166	597	34
a	129	69	513	148	14
a	129	88	581	145	9
a	129	89	511	183	11
a	129	130	592	103	6
a	129	132	172	563	35
a	129	152	120	587	30
a	129	159	541	110	10
a	129	181	513	161	13
a	129	197	536	152	15
a	130	46	197	552	30
a	130	107	133	506	34
a	130	113	144	555	40
a	130	115	197	535	50
a	130	120	190	527	33
a	130	129	569	135	8
a	130	156	523	197	11
a	130	157	162	525	42
a	130	167	535	131	7
a	130	173	552	108	7
a	131	25	510	172	16
a	131	35	187	550	32
a	131	42	107	579	39
a	131	46	121	503	38
a	131	54	150	579	29
a	131	60	580	152	12
a	131	96	550	155	13
a	131	97	536	152	9
a	131	118	523	145	9
a	131	129	594	119	6
a	131	151	592	172	9
a	131	188	518	127	10
a	132	23	576	189	14
a	132	53	168	526	45
a	132	54	585	130	9
a	132	77	175	533	44
a	132	78	539	111	10
a	132	81	571	160	15
a	132	88	510	141	8
a	132	110	556	146	9
a	132	115	573	149	9
a	132	186	143	537	38
a	133	38	551	186	14
a	133	54	177	517	38
a	133	77	561	109	6
a	133	83	171	541	37
a	133	90	537	189	12
a	133	95	182	571	29
a	133	106	548	146	13
a	133	117	578	157	13
a	133	127	141	558	33
a	133	130	583	114	8
a	133	142	505	182	13
a	133	155	181	511	30
a	133	161	171	593	34
a	133	172	109	577	31
a	133	197	172	501	31
a	134	6	182	566	31
a	134	16	171	528	32
a	134	73	529	104	7
a	134	78	172	518	40
a	134	86	510	151	9
a	134	90	105	600	41
a	134	130	150	535	30
a	134	135	520	164	9
a	134	136	543	171	16
a	134	148	524	140	10
a	135	20	179	518	29
a	135	24	176	518	30
a	135	59	107	581	46
a	135	64	527	192	10
a	135	66	140	516	47
a	135	85	131	543	37
a	135	179	140	593	55
a	136	68	591	119	7
a	136	81	179	547	52
a	136	119	579	190	11
a	136	138	193	592	57
a	136	179	544	139	13
a	137	6	134	542	31
a	137	13	196	535	31
a	137	24	544	123	6
a	137	56	140	595	38
a	137	72	123	563	55
a	137	92	587	161	13
a	137	111	114	561	44
a	137	112	138	560	30
a	137	131	555	187	13
a	137	141	587	113	6
a	137	143	501	147	14
a	137	158	595	153	15
a	137	162	553	198	13
a	137	175	186	578	40
a	138	21	184	566	43
a	138	28	573	148	9
a	138	77	548	101	8
a	138	86	508	116	6
a	138	88	571	182	16
a	138	94	600	196	13
a	138	96	587	134	13
a	138	107	546	122	7
a	138	112	527	107	9
a	138	191	119	586	30
a	139	11	200	596	37
a	139	14	199	542	31
a	139	28	141	547	34
a	139	40	511	168	12
a	139	65	191	577	50
a	139	100	174	565	47
a	139	103	559	159	11
a	139	198	149	508	39
a	140	31	197	528	43
a	140	39	508	130	12
a	140	52	501	100	10
a	140	65	124	600	42
a	140	76	162	507	27
a	140	80	535	158	12
a	140	83	121	541	32
a	140	100	148	515	46
a	140	123	110	551	34
a	140	135	581	158	13
a	140	159	164	542	52
a	140	186	589	109	8
a	141	21	514	120	6
a	141	26	596	151	8
a	141	52	191	513	35
a	141	63	584	187	16
a	141	90	587	157	9
a	141	101	548	132	11
a	141	116	186	564	52
a	141	148	596	173	17
a	141	163	505	111	6
a	141	167	153	505	45
a	141	183	565	100	7
a	141	189	513	160	15
a	141	191	110	543	54
a	141	195	124	586	29
a	141	196	122	502	27
a	142	5	101	579	42
a	142	54	567	184	16
a	142	66	112	534	44
a	142	68	151	535	42
a	142	100	184	525	46
a	142	136	513	170	17
a	142	150	154	508	29
a	143	5	146	546	34
a	143	18	568	151	11
a	143	22	558	170	11
a	143	34	583	153	8
a	143	103	534	175	10
a	143	132	507	126	6
a	143	138	144	509	27
a	143	141	173	554	31
a	143	149	591	153	14
a	143	174	532	164	8
a	144	32	193	505	32
a	144	62	199	532	41
a	144	72	561	153	14
a	144	85	172	557	49
a	144	103	530	179	11
a	144	140	117	524	28
a	144	153	560	138	9
a	144	161	522	198	10
a	144	178	550	185	15
a	144	185	502	200	10
a	145	26	553	156	12
a	145	36	172	564	38
a	145	111	567	193	11
a	145	122	594	113	8
a	145	129	550	149	12
a	145	166	177	528	29
a	145	169	100	532	35
a	145	178	556	188	17
a	145	180	519	191	11
a	145	191	514	143	11
a	145	200	583	100	6
a	146	3	578	121	7
a	146	8	514	110	6
a	146	12	144	583	39
a	146	14	111	557	34
a	146	41	150	507	49
a	146	56	140	589	45
a	146	66	195	538	37
a	146	97	177	566	40
a	146	99	570	152	9
a	146	106	146	586	38
a	146	175	531	102	9
a	147	7	141	528	45
a	147	20	177	550	49
a	147	46	133	558	39
a	147	57	588	128	9
a	147	62	593	126	9
a	147	72	136	527	29
a	147	98	567	187	11
a	147	120	181	575	42
a	147	151	125	576	38
a	147	167	140	559	38
a	147	186	197	585	31
a	148	6	544	189	18
a	148	7	527	143	8
a	148	29	538	113	6
a	148	30	528	184	11
a	148	49	509	128	10
a	148	50	109	560	44
a	148	64	156	577	55
a	148	98	140	506	32
a	148	103	167	554	45
a	148	105	531	108	5
a	148	112	151	597	33
a	148	114	557	140	9
a	148	120	199	531	29
a	148	129	165	531	37
a	148	162	166	528	41
a	148	167	568	147	14
a	148	180	583	130	11
a	149	17	557	191	12
a	149	50	155	504	37
a	149	64	504	164	10
a	149	77	121	561	44
a	149	78	572	102	9
a	149	112	122	520	31
a	149	129	584	178	14
a	149	140	156	574	39
a	149	146	156	520	50
a	149	147	526	144	9
a	149	186	133	508	46
a	150	32	521	161	12
a	150	69	597	125	8
a	150	102	599	105	8
a	150	133	182	593	37
a	150	138	502	146	8
a	150	153	182	511	34
a	150	178	524	108	9
a	150	185	154	584	32
a	150	193	573	142	8
a	151	20	509	157	15
a	151	23	103	506	34
a	151	24	129	546	28
a	151	36	582	125	10
a	151	37	563	116	10
a	151	43	589	115	8
a	151	45	155	500	28
a	151	68	533	165	12
a	151	83	150	543	34
a	151	117	181	550	32
a	151	124	547	164	8
a	151	127	123	504	33
a	151	147	123	521	26
a	151	185	177	540	50
a	151	192	550	118	8
a	152	1	118	507	26
a	152	43	599	103	6
a	152	46	194	599	34
a	152	86	527	117	9
a	152	105	544	137	9
a	152	110	596	170	13
a	152	118	188	505	42
a	152	131	545	138	8
a	152	148	562	159	12
a	152	150	532	189	10
a	153	20	524	184	13
a	153	24	130	527	38
a	153	32	181	533	47
a	153	48	130	560	41
a	153	99	130	519	27
a	153	101	532	136	10
a	153	109	517	184	10
a	153	127	190	513	43
a	153	140	173	570	32
a	153	149	145	553	32
a	153	150	593	184	14
a	153	191	565	127	9
a	153	197	181	565	51
a	154	49	151	512	39
a	154	77	145	545	41
a	154	79	555	140	9
a	154	80	549	116	7
a	154	108	104	586	32
a	154	109	163	566	29
a	154	115	155	589	55
a	154	120	146	501	31
a	154	164	167	587	51
a	155	11	128	554	42
a	155	24	551	117	11
a	155	46	549	168	13
a	155	83	104	542	31
a	155	115	593	192	14
a	155	125	514	149	10
a	155	129	594	165	13
a	155	159	511	103	7
a	155	161	109	579	55
a	155	167	151	535	29
a	155	181	536	160	12
a	155	198	100	544	35
a	156	40	147	528	31
a	156	57	133	526	47
a	156	91	118	530	27
a	156	115	165	508	29
a	156	140	556	158	8
a	157	28	506	113	7
a	157	30	166	504	32
a	157	40	580	184	10
a	157	64	187	505	29
a	157	73	190	576	42
a	157	113	200	586	44
a	157	147	132	512	48
a	157	180	543	149	10
a	157	186	103	557	34
a	157	200	522	130	10
a	158	13	153	597	34
a	158	25	136	526	47
a	158	27	120	543	39
a	158	40	542	163	11
a	158	42	519	149	8
a	158	70	128	556	47
a	158	72	503	175	11
a	158	73	545	163	8
a	158	74	103	515	41
a	158	80	118	519	33
a	158	86	190	502	44
a	158	92	555	101	8
a	158	100	589	163	15
a	158	101	563	175	12
a	158	136	531	178	14
a	158	137	591	135	7
a	158	145	514	131	9
a	158	189	558	165	9
a	159	16	539	108	10
a	159	20	196	517	39
a	159	25	519	104	7
a	159	36	166	588	53
a	159	49	587	102	6
a	159	55	551	173	15
a	159	57	119	526	49
a	159	67	109	522	31
a	159	161	164	523	30
a	159	181	138	556	31
a	159	193	528	100	8
a	160	62	191	505	36
a	160	138	179	588	44
a	160	151	514	193	10
a	160	154	587	185	11
a	160	163	143	565	42
a	160	168	122	519	51
a	160	179	131	599	48
a	161	34	177	512	32
a	161	42	543	122	7
a	161	59	552	158	10
a	161	60	554	168	9
a	161	65	105	529	30
a	161	66	159	541	45
a	161	83	547	103	8
a	161	171	582	181	14
a	161	172	157	527	38
a	161	183	132	572	29
a	161	197	137	571	40
a	162	18	185	500	42
a	162	60	543	157	8
a	162	121	101	582	41
a	162	184	507	104	7
a	163	18	154	564	40
a	163	22	115	570	53
a	163	43	158	576	33
a	163	61	198	566	32
a	163	76	101	509	49
a	163	123	151	556	28
a	163	143	589	187	15
a	163	147	546	160	11
a	163	174	570	188	19
a	163	176	580	127	8
a	164	20	168	552	29
a	164	32	506	186	11
a	164	43	193	534	36
a	164	50	105	505	29
a	164	158	539	137	7
a	164	163	533	101	7
a	164	170	157	518	27
a	164	171	582	130	7
a	164	184	196	532	31
a	165	25	176	513	37
a	165	40	111	512	39
a	165	64	199	556	32
a	165	68	179	551	29
a	165	80	551	126	9
a	165	102	591	121	9
a	165	118	515	192	10
a	165	122	146	500	31
a	165	161	152	571	33
a	165	191	525	140	7
a	165	196	500	175	16
a	166	4	555	123	7
a	166	10	160	525	27
a	166	25	551	184	15
a	166	26	152	507	46
a	166	30	166	596	34
a	166	49	590	142	12
a	166	52	115	549	52
a	166	93	174	545	31
a	166	94	156	584	32
a	166	110	589	165	12
a	166	141	550	163	11
a	166	144	172	568	49
a	166	179	505	193	13
a	166	183	527	128	8
a	167	12	134	513	28
a	167	15	572	121	7
a	167	26	148	516	36
a	167	65	129	532	42
a	167	84	596	181	13
a	167	105	174	584	53
a	167	157	137	559	41
a	167	178	104	584	42
a	167	180	596	108	8
a	167	183	131	590	31
a	167	192	560	129	10
a	167	195	539	121	9
a	168	30	187	520	28
a	168	44	200	537	49
a	168	71	557	102	8
a	168	85	139	528	29
a	168	107	199	538	50
a	168	119	562	181	17
a	168	133	572	102	7
a	168	165	135	577	29
a	168	173	567	175	13
a	168	180	581	153	14
a	168	182	160	556	31
a	168	192	121	548	42
a	169	15	550	181	16
a	169	35	122	564	29
a	169	64	525	152	11
a	169	79	167	541	31
a	169	150	126	572	42
a	169	186	195	504	26
a	170	22	141	555	32
a	170	26	175	589	47
a	170	34	506	102	7
a	170	35	103	541	34
a	170	67	172	564	33
a	170	72	118	589	50
a	170	81	503	110	8
a	170	92	199	567	39
a	170	165	123	510	35
a	170	188	159	537	38
a	170	195	100	562	33
a	170	197	121	523	37
a	171	13	552	147	10
a	171	16	134	556	55
a	171	55	114	566	45
a	171	76	195	586	31
a	171	79	530	199	11
a	171	100	564	123	7
a	171	106	510	175	10
a	171	147	131	568	35
a	171	148	190	514	26
a	171	150	557	158	9
a	171	200	177	586	39
a	172	10	588	124	7
a	172	58	519	155	10
a	172	59	198	589	49
a	172	107	520	148	9
a	172	109	185	569	56
a	172	128	101	552	47
a	172	139	568	192	10
a	172	154	168	552	55
a	172	160	154	507	45
a	172	177	515	177	17
a	172	182	185	522	31
a	172	185	566	166	13
a	172	189	583	141	7
a	173	14	535	199	17
a	173	35	172	537	35
a	173	56	539	114	7
a	173	60	505	182	11
a	173	99	546	162	12
a	173	164	100	575	39
a	173	166	590	188	18
a	173	168	179	560	38
a	173	169	556	115	7
a	173	182	578	184	17
a	174	3	161	573	30
a	174	9	117	555	30
a	174	50	109	540	34
a	174	74	539	123	9
a	174	93	164	540	52
a	174	126	187	600	44
a	174	151	596	200	12
a	174	186	597	145	8
a	174	194	162	530	34
a	175	3	530	178	9
a	175	16	512	109	6
a	175	40	140	566	53
a	175	43	579	160	13
a	175	47	567	160	8
a	175	92	138	590	44
a	175	104	139	578	53
a	175	105	141	576	36
a	175	125	551	109	10
a	175	127	169	548	47
a	175	136	517	102	7
a	175	137	520	118	8
a	175	148	131	519	42
a	175	159	176	543	36
a	175	173	586	131	7
a	175	198	116	513	46
a	176	4	168	533	42
a	176	16	585	129	10
a	176	20	190	557	37
a	176	34	149	542	39
a	176	54	127	537	35
a	176	62	172	519	29
a	176	68	567	115	8
a	176	85	132	565	46
a	176	100	589	198	16
a	176	119	179	535	42
a	176	130	586	127	10
a	176	199	513	197	11
a	177	11	111	556	29
a	177	22	165	530	28
a	177	27	107	558	35
a	177	47	584	121	6
a	177	50	115	598	33
a	177	91	574	124	11
a	177	97	585	158	10
a	177	153	537	168	13
a	177	168	584	195	12
a	177	170	198	503	29
a	177	172	124	575	39
a	177	173	134	550	30
a	178	34	188	561	36
a	178	36	544	172	13
a	178	125	198	505	40
a	178	135	104	585	37
a	178	149	149	521	33
a	178	184	102	567	44
a	179	13	115	558	43
a	179	44	586	183	9
a	179	55	573	135	8
a	179	64	142	516	36
a	179	83	116	504	41
a	179	93	126	565	54
a	179	173	510	120	9
a	179	186	183	572	31
a	179	196	150	500	27
a	180	11	540	200	11
a	180	14	514	116	7
a	180	23	595	118	11
a	180	28	529	142	12
a	180	55	191	562	51
a	180	95	515	138	11
a	180	104	502	162	10
a	180	106	588	103	8
a	180	118	502	132	7
a	180	123	502	170	17
a	180	159	538	137	10
a	180	170	193	590	54
a	181	1	549	183	15
a	181	10	172	577	45
a	181	23	550	111	9
a	181	74	563	114	11
a	181	77	500	130	7
a	181	80	540	161	9
a	181	89	167	548	45
a	181	111	132	583	33
a	181	116	569	187	12
a	181	151	545	141	10
a	181	173	170	503	50
a	182	4	197	562	37
a	182	12	162	535	27
a	182	13	160	525	44
a	182	54	119	503	37
a	182	110	590	116	9
a	182	126	599	106	7
a	182	141	520	114	6
a	182	143	192	571	51
a	182	144	156	557	49
a	182	150	542	132	8
a	182	162	169	553	35
a	182	171	502	174	13
a	182	185	116	532	41
a	182	186	127	543	38
a	182	196	169	559	41
a	183	7	560	164	9
a	183	67	529	184	13
a	183	77	144	587	40
a	183	79	195	538	45
a	183	87	199	523	36
a	183	167	505	192	11
a	183	180	104	595	32
a	183	194	100	508	38
a	184	3	572	123	11
a	184	8	196	505	27
a	184	19	599	159	10
a	184	40	544	104	6
a	184	49	182	600	32
a	184	64	117	542	36
a	184	75	157	546	41
a	184	81	502	156	12
a	184	98	173	530	32
a	184	107	152	556	48
a	184	139	585	191	13
a	184	166	556	159	13
a	184	168	600	128	9
a	184	177	143	596	35
a	184	192	567	154	12
a	185	30	570	150	8
a	185	52	534	131	9
a	185	78	527	195	14
a	185	112	120	546	46
a	185	139	139	598	49
a	185	142	576	142	8
a	185	164	568	149	10
a	185	174	510	173	9
a	185	189	100	525	32
a	185	190	168	580	49
a	185	196	101	578	44
a	186	8	596	166	10
a	186	46	564	114	9
a	186	47	539	137	8
a	186	48	198	577	43
a	186	65	166	581	40
a	186	103	567	122	12
a	186	171	531	157	11
a	186	178	131	546	35
a	186	184	108	545	29
a	187	15	189	539	51
a	187	22	594	186	16
a	187	23	132	526	28
a	187	31	186	553	48
a	187	35	137	528	46
a	187	38	118	580	49
a	187	49	544	112	9
a	187	52	101	584	46
a	187	58	509	121	7
a	187	60	593	125	8
a	187	70	189	561	44
a	187	103	583	139	12
a	187	113	115	514	43
a	187	128	108	519	37
a	187	129	546	105	8
a	187	131	599	115	9
a	187	145	567	164	13
a	187	178	110	502	44
a	187	191	529	185	13
a	188	5	155	509	26
a	188	20	108	558	53
a	188	27	558	191	11
a	188	40	534	151	10
a	188	62	545	140	11
a	188	70	595	111	7
a	188	81	532	196	13
a	188	98	196	564	37
a	188	113	103	520	32
a	188	138	111	556	47
a	188	194	521	158	10
a	189	11	571	186	13
a	189	15	569	156	9
a	189	36	112	560	36
a	189	46	594	175	13
a	189	64	520	130	11
a	189	152	184	518	30
a	189	162	587	106	6
a	190	18	556	121	7
a	190	42	171	512	42
a	190	53	530	188	10
a	190	81	196	525	51
a	190	97	164	564	54
a	190	133	115	532	46
a	190	151	555	182	16
a	191	29	118	511	35
a	191	32	108	556	30
a	191	74	537	186	12
a	191	90	182	536	36
a	191	111	587	130	9
a	191	112	154	564	32
a	191	117	596	138	10
a	191	200	191	527	37
a	192	24	159	600	50
a	192	39	174	542	36
a	192	40	158	592	35
a	192	48	502	115	7
a	192	56	123	556	33
a	192	92	156	521	29
a	192	141	521	155	14
a	192	144	111	543	44
a	192	164	533	157	9
a	192	170	554	178	11
a	192	178	110	579	53
a	192	187	513	184	10
a	193	8	100	540	30
a	193	22	122	558	32
a	193	38	137	584	40
a	193	66	151	528	27
a	193	67	537	119	7
a	193	85	192	550	50
a	193	90	501	126	8
a	193	96	501	181	10
a	193	112	569	195	18
a	193	123	141	562	41
a	193	150	159	581	43
a	193	157	109	541	33
a	193	166	169	574	47
a	193	196	529	157	10
a	194	2	134	597	34
a	194	14	110	515	34
a	194	31	518	101	10
a	194	35	507	165	11
a	194	37	182	544	42
a	194	40	579	125	9
a	194	41	113	521	34
a	194	82	121	571	52
a	194	96	588	175	10
a	194	125	589	143	10
a	194	163	100	507	36
a	194	169	107	545	28
a	194	179	586	129	9
a	194	192	139	540	30
a	195	9	526	169	9
a	195	12	199	580	40
a	195	22	573	123	7
a	195	26	179	548	28
a	195	27	573	200	11
a	195	170	178	587	32
a	196	3	189	597	51
a	196	18	547	124	7
a	196	22	599	110	10
a	196	32	100	527	27
a	196	56	557	183	9
a	196	57	521	109	6
a	196	83	120	577	45
a	196	115	512	167	16
a	196	125	159	537	35
a	196	148	521	116	7
a	196	167	590	139	12
a	196	181	525	135	11
a	197	53	146	591	32
a	197	67	106	534	40
a	197	77	500	152	9
a	197	92	567	160	9
a	197	111	572	150	14
a	197	113	187	600	32
a	197	131	157	600	36
a	197	154	525	139	7
a	197	198	167	563	35
a	198	4	585	111	9
a	198	51	554	197	13
a	198	52	520	161	12
a	198	61	540	149	10
a	198	136	176	581	56
a	198	141	196	533	44
a	198	152	186	567	51
a	198	157	507	133	13
a	198	161	588	142	7
a	199	18	180	520	33
a	199	35	127	547	34
a	199	46	595	115	6
a	199	47	182	500	37
a	199	71	154	584	33
a	199	87	159	575	34
a	199	123	171	548	44
a	199	167	581	114	6
a	199	177	169	534	33
a	199	178	166	572	54
a	199	194	587	157	10
a	200	11	550	191	18
a	200	41	540	171	9
a	200	78	160	574	37
a	200	82	119	542	38
a	200	92	502	123	8
a	200	97	545	144	12
a	200	106	521	173	9
a	200	109	181	586	31
a	200	113	506	181	13
a	200	134	586	148	11
a	200	140	501	137	7
a	200	177	523	141	11
a	200	178	578	174	11
a	200	188	148	556	38
a	200	196	569	158	16
a	200	197	166	582	32
